,Unnamed: 0,data,sentiment
47,55,vao dap chet con di me lao gia toc bac an lam nhu giang ho vay,negative
48,56,đạp người ta mà bảo là đưa chân tác động,negative
49,57,quả này thì trung tá nổi hơn cồn rồi nhé đừng hống hách nữa chuẩn bị tâm lý mà bước vào lò lửa của bác trọng nhé,negative
50,58,dận quá mất khôn quá hách dịch,negative
51,59,lay dan lam goc dan den danh dan nhu cho,negative
52,60,xin chúc mừng bác,negative
53,61,"giáo viên mà viết sai chính tả thì dạy học trò sao đây  giận quá mất khôn""chứ không phải dận quá mất khôn anh trang cao que nhé",negative
54,62,nuôi tụi nó cho béo ra rồi đạp vào mặt dân chó công an,negative
55,64,hay đánh mạnh vào,positive
56,66,con mẹ thang ca bụng lợn,negative
57,67,giờ toàn đào tạo bọn chó cắn dân đen,negative
58,68,giet thang cho di,negative
59,70,công an như xã hội đen ý nhỉ,negative
60,71,một cú đá bay luôn bộ đồ đang bận,positive
61,72,co quan quyen lwcj la day,negative
62,73,nên xử nặng mất hình ảnh,negative
63,76,chỉ cần cho thuốc mê vào cfe khi ong an khong còn biết jì thì muốn làm jì củng dc,negative
64,77,nhận định chín xác,negative
65,78,lại bọn thám tử online ,negative
66,79,những cái chết rất đúng quy trình,negative
67,80,bác trọng có xử k xủ thì thôi,negative
68,82,lại bọn thám tử online  bảo sao dân trí ko cao hơn ngọn cỏ,negative
69,83,sau khi rà soát  cái con đĩ mẹ nó  nay xét thấy  con đĩ mẹ nó họp quốc hội mà ngủ trước cộng đồng mạng  việc dễ ẹt  để tránh ngủ gục mà làm khg được  đảng ơi là đảng,negative
70,84,lớn còn chơi ngu,positive
71,86,thơ hay quá bác ơi,positive
72,87,ánh nhất ánh,positive
73,88,trước mặt bác sao vô lễ mất dạy vậy  các thầy cô gương mẫu rồi làm sao ăn nói với học sinh ,negative
74,89,còn có tư cách dạy cho thế hệ trẻ hay không,negative
75,90,nền giáo dục của ông nhạ có khác,negative
76,91,bài thơ tuyệt vời ,positive
77,92,các con vật cô đang ôn lại môn văn hóa hội thảo của trường nào đây các bạn,negative
78,94,làm mấy lần các thầy nóng lên lại khổ cho các thầy mà có khi lại khổ mấy cô nữa,negative
79,95,sao tôi thấy tư duy đầu óc của những con người này ngày càng bị mất đi phẩm chất giáo dục hết rồi thì phải,negative
80,96,pó tay hết nói nổi k còn từ gì để diễn tả hành động này rồi k giống của con người chút nào bắt chước chi ác vậy,negative
81,97,chỉ có chế độ xhcn chơi kiểu này thôi nên đơn ly hôn toà xử ko kịp quái đản,negative
82,98,lớn rồi mà chơi trò ngu hơn con nít mà lại là nhà giáo nữa hỏi xem đầu óc họ nghĩ jì,negative
83,99,loài gì chứ ko phải loài người nữa,negative
84,101,quy yeu chứ thay co gi mat phong cach nha giao,negative
85,102,thầy cô mặc áo dài rồi chơi bậy trong lớp,negative
86,103,trò này nói lên điều gì trong giáo dục,negative
87,104,trò chơi gì lạ ghê sáng tạo không giới hạn,negative
88,105,chơi trò ưng c,positive
89,106,cạn cmn lời ,negative
90,107,chỉ có trò lố bịch của bọn cộng sản thối nát bách hại và cướp tài sản cướp đất đai nhân dân mình mới khốn nạn như thế,negative
91,108,ôi cái nền giáo dục nước nhà,negative
92,110,lại thêm một lũ lú mề,negative
93,114,lũ bệnh hoạn,negative
94,115,đây lòa con chéo của bót  đỏn ngứa hấng bài roa cứa trò đĩ đóa mò,negative
95,116,cái lũ giáo cô nứng nứng,negative
96,117,mấy cô đưa cái nồn vao chắc con c mấy thầy cứng hết cả lên,negative
97,119,tởm hết chỗ nói,negative
98,120,đây cũng là dâm dục á,negative
99,121,giáo chó đéo đây l,negative
100,122,trang web giả mạo  không phải nk yn chính gốc cẩn thận khi vào đây,negative
101,123,hay quá ad ơi đồng phục đẹp như vậy mua ở đâu vậy ad,negative
102,124,bọn nó là con của trúa mà,negative
103,125,ngưỡng mộ quá nhỉ biết luật phạm luật,negative
104,127,luat la cua tui no mànoi ga noi vit gi ma khong duoc,negative
105,130,cô gái này quê nghệ an hà tĩnh,negative
106,131,"việc thùng nhân qua rồi,nên cho qua luôn nhé",negative
107,132,không mất tiền thì có c...hó nó đi chôn còn làm bẩn cả xã hội í,negative
108,133,thế mới gọi nghị gật,negative
109,134,đại bẩn của thiên đường,negative
110,135,biển đông giờ bản đồ để south china sea rồi đấy thôi,negative
111,136,sống chết mặt bây,negative
112,137,1 cách ngủ  mà đéo ai dám chửi,negative
113,139,sủa ít th ai bt đó là của vn 3 thiếu nc đi sủa bậy ghê mài,negative
114,142,ăn cạc nó đi,negative
115,143,police nó bắn chết luôn chứ đéo thèm chửi đâu 8gijq&t=352s,negative
116,144,mày đang sủa gì thế ad,negative
117,145,chắc ảnh sẻ nói là vô tình thôi ,negative
118,146,côn an cs cũng sử dụng ngón tay thối nữa,negative
119,148,nhìn mặt thô bỉ thấy ớn,negative
120,149,thằng khốn nạn,negative
121,150,mai mốt ai phát hiện bọn cs ác ôn công an nay anh em tông vào cho nó ăn một trái lưu đạn tự chế như mìn playmor khỏi báo cáo trung ương xử ok,negative
122,151,mấy chú lính nghĩa vụ mà cũng đéo biết thì làm sao chống cs đc ngu vậy thì cs yên tâm ngủ ngon rồi,positive
123,152,thế này là sao hả các bác  công an đi đánh bạc bài rồi ai bắt công an  dân đánh bài thì công an đùng đùng kéo tới bắt sạch phạt nặng không có tiền đóng phạt là phải ở tù là sao vậy ,negative
124,153,phan văn vĩnh ng thanh hóa là sp nghề này,negative
125,155,tiền bạc rõ ràng  mả đi bắt ai  trong bọn chúng có ai là đảng viên đảng cộng hay khg   cám ơn và xin kính phục ai đã đưa hình ảnh này lên  cho dù có chết cũng nói  một nghành nào có dại dột còn tha thứ  đây là công an việt nam cảnh sát của cộng sản hãy đưa lên thế giới,negative
126,156,có thật không ta công an việt nam a,negative
127,158,kê súng lên đầu cũng nói  độc đảng,negative
128,162,đảng ơi là đảng  độc đảng ,negative
129,163,cấn cho bọn náy ra khỏi nghánh,negative
130,165,cái sòng bạc này nhỏ xíu à đám quan lại cơm sườn thì đánh bài bên nước ngoài,negative
131,166,tính đi liếm đấy mà,negative
132,167,nếu đi ngược chiều là trừ điểm hoặc thu bằng 3 đến 6 tháng,negative
133,168,con lon chao csi gi,negative
134,169,công an chúng tôi muốn gần gũi dân chúng thôi mà,negative
135,170,công an làm căng lên rồi cho nó manh động bắt tội chống người thi hành công vụ,negative
136,171,công an là chính quyền.người dân không có quyền.dì câm mồm.thôi thì tối có quỷ nó tới hôt hồn nhé,negative
137,172,do cho vang an cuc,negative
138,173,có cây gậy trên tay sao không vụt vào mồm nó 1 cái,negative
139,174,văn hóa kém vì ít học,negative
140,175,người dân ai cũng coi lũ chó vàng như kẻ cướp đường thôi nên khi bức xúc có thái độ như vậy đó,negative
141,176,chưa biết phải trái ra sao nhưng người đi xe máy lỗ mãng quá,negative
142,177,có cãi thì cũng phải có văn hóa tí chứ như này thì cũng ghét thật,negative
143,178,ở mỹ là xong luôn,negative
144,179,đập chết mẹ nó đi nơi gì nh,negative
145,180,ở nước ngoài nó va vo mồm ở đấy mà chửi bậy,negative
146,181,sống sao để cho dân họ căm ghét họ chửi không ra gì chết mẹ đi hay hơn,negative
147,182,các bạn đừng cái gì củng so với mỷ nghe buồn cười  nếu so với mỹ chẳng khác nào đem quạ so với công,negative
148,183,thằng lái xe cư xử ko chuẩn xúc phạm lăng nhục người thi hành công vụ chửi láo,negative
149,184,csgt sao cứ cầm đt quay giống phóng viên,negative
150,185,mày nói ỏ mỹ làm đéo gì vn khác,negative
151,186,dua hinh su cho no ve bot dam vao mom cho no khoi chui nhu vay chu di lam viec ai lai de thang vo hoc chui nhu vay,negative
152,187,đồng ý cãi nhưng phải đúng  ăn nói văn minh tý chứ thằng này thiếu ls và tôn trọng người khác loại vô văn hoá mai lại em biết lỗi rồi,negative
153,188,mệt quá chưa chết thì sợ người dg đi trên đường bình thường thì ta cho ngươi ta các bố muối làm ông nội ng thì người ta phải chửi đó cũng đúng,negative
154,189,về đồn lại ngoan như cún bầy đặt,negative
155,190,đi ngược chiều đã sai mà còn hổ báo  cứ nói công an việt nam thế này thế nọ  dcm bên mỹ nc với công an vung tay vung chân kiểu đó nó cho ăn kẹo ha,negative
156,191,ca huế là chúa dơ,negative
157,192,thằng này càn quá,negative
158,193,đập cho vỡ mõm cho nó khỏi làm bố,negative
159,194,công an đã làm mất lòng tin của nhân dân nhiều quá nhưng không biết chính phủ đã nghe thấy là như vậy chưa ,negative
160,195,may fhang cong an nhuc qua phai tao ve nuoi ga,negative
161,196,vì người dân quá bức xúc lên vậy vì bọn này k có tinh ng,negative
162,197,đúng chưa.biết bố mẹ người ta có tôi.gì mà chửi,negative
163,198,môt kẻ vô học,negative
164,199,hay cho câu  chúng mày đã sống đúng chưa mà bắt tao phải sống đúng  tao đéo bao giờ sống cúi đầu trước chúng mày  ăn ở làm sao mà để dân phải nói như vậy nhỉ,negative
165,200,hay lắm  cả nước ngưỡng mộ chú,negative
166,201,chuẩn gặp phải đại ca rồi lúp đi mấy thằng chó vàng,negative
167,202,đập con chó đó trận,negative
168,203,lại nghe tiếng miền bắc chán thật văn hoá gì mà,negative
169,204,bố lão bố tuyết,negative
170,205,công an mà ngu như lon í.đập sml nó đi chứ,negative
171,206,thang nay ma o ben nuoc my thi nay gio la no don roi,negative
172,207,nói chung là cái hình ảnh ca giao thông việt nam mình làm sấu đi hình ảnh công an việt nam,negative
173,208,vi pham nghiem chỉnh cháp hành,negative
174,209,cảnh sát o mỹ ko như vn đừng co so sánh,negative
175,210,tum co nó ve phường,negative
176,211,xem mà quá bức xúc thằng óc chó nhôt moe nó vào đánh cho nó môt trận,negative
177,212,kiem ti kho that,negative
178,213,mai mối vê đây,negative
179,214,ở nước ngoài mà đụng kiểu đó là nằm xuống liền,negative
180,215,gọi xe bolice tới hốt về đồn mặt xanh lè xanh léc chử thứ gì đứng nói chi mất công,negative
181,216,mồi này xương quá cố nhá làm gì có phải chó đói đâu mất thể diện,negative
182,217,giao thông huế la ăn bẩn nhất nước,negative
183,218,thằng này cũng bố láo quá công an chưa căng mà mình chửi càn  phải chi những vụ công an đánh dân mà gặp thằng này thì ok quá  dân ủng hộ,negative
184,219,mẹ chúng mày bênh nhsu á kiểu ấy đắp chết mẹ nó cho vàng,negative
185,220,"ca cũng vì chén cơm thôi mà,chửi cho mỏi miệng chỉ thêm rắc rối",negative
186,221,đc bắc này khá đấy cho chú 1like,positive
187,222,bọn chó vàng ăn đường cứ thế cho nó đỡ bất nat dân,negative
188,223,giờ kiếm ăn của dân khó quá,negative
189,224,lũ công an huế đê tiện ăn dơ ăn bẩn khét tiếng.cả nuổc đến du lịch họ đều ghê tởm công an huế,negative
190,225,sao lại gặp e đi xa wa,positive
191,226,thời cho nó mấy dòng ho xong,negative
192,227,thằng nào nói o mỹ wa đó ma sống,negative
193,228,các ông fai làm đúng đó nếu ko trần đình sang ra tù sẽ xử lý các ông đấy,negative
194,229,lon cong an thiếu tiền uong cafê la z,negative
195,230,anh ban linh lam voi bon cho nay chi co anh moi ia thang vao mat no dc nguoi viet se nhac ten anh,negative
196,231,ca tt huế nhục chưa bi chửi như chó,negative
197,232,mẹ thằng bk,negative
198,233,gặp tao tao về làm ruông chứ làm ca làm đéo gì cho nhục ngày 2 bữa cơm bon chen làm gì,negative
199,234,trẻ trâu bò,negative
200,235,nhục quá mấy con chó vàng chì dình ăn cưt,negative
201,237,khi gặp chuyện mà cứ cư xử vô văn hóa thế này thì cũng xin thua luôn,negative
202,238,đập vào mõm ngay vi fạm còn cắn càn,negative
203,239,noi rat hay thag cho cog an may quay phim cho gd may xem,positive
204,240,chỉ ở việt nam đã ngu làm sai còn gân cổ như này lôi về đồn dạy lại lời ăn tiếng nói là dc rồi,negative
205,241,sao may khong quay cai ma nha may say may ty ma may quay bat loi dan kh vay,negative
206,242,bắt nó lại sao để nó có thái độ như vậy chứ,negative
207,243,nhục mạ người thi hành công vụ và chửi tục vây bắt dc rồi còng đâu no ve dap 1 tran,negative
208,244,thang do mat day qua  sao csgt ko vo vo mom cho cho biet the nao la le do,negative
209,245,đcm mấy thằng định ăn mảnh lên gặp phải cớm rồi các cháu ạ mấy thằng thực có hiểu luật ji đâu,negative
210,246,ai cung nhu anh nay bon csgt o kiem duoc gi,negative
211,247,địch con mẹ thần bất kỳ...đâm cho nó vài phát vào mồm là nó câm,negative
212,248,kiểm tra thằng bố chúng mày giấy tờ tài sản của chúng may mà chúng mày đòi cầm của người ta,negative
213,249,hoan hô a áo den chửi dung lắm,negative
214,250,thái độ của lũ chó khôn kiếp cướp đườ kiếm tra giấy tờ của người dân xong không trả  chúng nó cố tình giữ giấy tờ rôi cứ loanh quanh để ngây khó khăn cho người dân một lũ khôn kiếp thôi lát vô độ của chế độ này,negative
215,251,một câu chửi là csgt có quyền khống chế đập luôn rồi sao csgt nhu nhược thế,negative
216,252,sao thằng csgt kg sủa mà cứ cầm máy quay xong rồi im như thóc vậy,negative
217,253,lam cong an ma bi chuoi nhu con cho du tui bay 1lu ngu muoi,negative
218,254,phim hài sáng sớm huỳnh thuận,positive
219,255,chuẩn xin cũng đéo cho xin làm con cẹc gi,positive
220,256,nói wa chuẩn 1 lũ chó vàng,positive
221,257,đit me chúng mày nhục chưa hả vàng sao ngành mày cứ bị dân ỉa vào mõm thẽ,negative
222,258,mấy chú giao thông nhục như con trùng chục,negative
223,259,da sai  lai con chui nao  bat luon no  qua nao,negative
224,260,"con người ko có học vì phạm luật rồi còn mất dạy,ơ mấy thằng tư bản mà có thái độ như vậy là nó còng tay rồi,chống lại nó bắn bỏ chứ ơ đó mà cãi",negative
225,261,mất dạy rồi bo tu di,negative
226,262,sao ko đậy cho nó một trận,negative
227,263,đứng dưới lòng đường làm việc lại sai,negative
228,264,hãy đặt câu hỏi vì sao dân ghét csgt,negative
229,266,đâu cũng là một nỗi lòng  trong số người uất ức người dám nói và đã làm  vì a ta đã hy sinh cả tánh mạng mình cho lý tưởng  nhưng sau cuộc chiến  những người đã từng cầm súng xông pha chịu đắng cay  nằm rừng đói khát  bữa nó bữa đói  để đạt được mục đích mà a ta đang đeo đuổi  là chiếm trọn miền nam việt nam  thế rồi  những a từng chiến đấu gian khổ để đến thành công  lại về nhà chăn trâu làm vườn  khg một bỗng lộc  phải sống trong nghèo đói thiếu hụt v..v còn những người  du học  chưa từng nếm mùi chiến trường  gian khổ  và đau thương  của cuộc chiến 2 bên nam và bắc  ngồi trong mát  ăn bát vàng  nay lại ra nắm quyền cao thế trọng  bỗng lộc ngất trời  lại thêm lời nói của họ  dù đúng hay sai  cũng được tán thưởng hoan nghênh  tân bốc một cách ngớ ngẩn  chính vì thế a ta lại có phãn ứng như thế  xin hỏi các bạn  nếu bạn là người từng cầm súng chiến đấu bao năm tháng trời  bao gian khổ  đắng cay vì lý tưởng  đến khi đạt được kết quả tốt đẹp  người ta vứt bạn vô một xó  khg quan tâm bạn suy nghĩ như thế nào ông nguyễn phú trọng từng đã phát biễu  còn ai tin vào đãng nữa không  và  lý tưởng xhcn  không biết 100 năm nữa có thể thực hiện được không  các bạn hãy vận dụng trí não mình suy nghĩ 2 câu ô trọng đã nói ,negative
230,267,có còn ai tin vào đảng nửa không ,negative
231,268,chả ai tin vào đảng,negative
232,269,cả một dân tộc bị lừa đi đánh nhau để đem lại quyền lợi cho bọn có chức quyền mỗi thằng tham nhũng vài ngàn tỷ đồng còn những người cống hiến xương máu thì được những gì,negative
233,270,mày nói càng hay mỹ càng cười nhếch mép vì có đc thằng bán nước nó bán dân tộc nó để kiếm miếng ăn từ mỹ kẻ xâm lược đất nước mình thằng này thông minh vl,negative
234,271,chúc anh lính năm sưa nhanh chóng được sang hoă ló ăn dưỡng song sang nghỉ mát tại sái đống thủ đô há nội,positive
235,272,đây chỉ là một người bất mãn với chế độ dám nói thật thôi chứ không phải phản động đâu nhé họ đóng góp cho đất nước nhiều lắm chứ không phải như quan chức thời này,negative
236,273,đây là người hùng thật 100 vì nói trên trang mạng cả cộng đồng mạng  người việt khắp thế giới tỏ tường  lâu nay chỉ có một số ít dân việt nam biết được chúng ta nên hiểu và thông cảm cho một số người sài gòn nói chung là người thuộc phía vnch họ sống trong nhung lụa  nhưng họ bị giải phóng họ bị mất tất cả nên họ hận cho đến giờ  nếu nói như đảng cộng sản  hay nói theo các đỉnh cao trí tuệ  hoặc là theo bọn đày tớ thì anh là thuộc vào thế lực thù địch vâng)ai ở trong chăn  thì mới hiểu trong chăn lạnh  ấm hôi thúi  thơm tho...nhưng dù dì đi anh thật sự là người ang hùng  nếu như mọi thủ đoạn của cộng sản sẽ hại anh thì anh luôn lún được kính phục  khg giống như những anh hùng vẽ mong anh cẩn trọng  trước 1975 chưa bị giải phóng  tiền việt nam 500 đổi lấy 1dolla sau khi bị phỏng giái 45 năm sau 22.000 tiền việt nam đồi lấy 1 dolla là sao  hỡi các đỉnh cao trí tuệ hỡi bọn đày tớ,negative
237,274,không ký hiệp định ba ri tuoi bay chết khô,negative
238,275,ông này nói đúng các bạn hãy tìm hiểu về chế độ v.n.c.h trước 1975 có đúng sự thật như ông này đã nói theo sống tôi sống vào thời v.n.c.h thật sự như vậy,negative
239,276,thẳng này ăn nói l láo toét loại phản quốc,negative
240,277,thôi đi ông!chắc xưa ông bỏ cả đồng đội ông trốn về mới sống chứ!thắng làm vua thua đu càng.chân lý đó ko bao giờ thay đổi,negative
241,278,ai kêu bú đít mỹ làm gì nếu ko bú đít thì có mà chết sớm đéo sống tới giờ,negative
242,279,loại này khó sài chiến tranh mấy gđ kg có ng ra trận có ng đã ra đi kg trở về vì nền giải phóng dt có ai kể lể gì đâu mà nó đi núp sau mọi người rôuf chốn về vậy mà đất nước vẫn trả bổng lộc cho nó theo chính sách nhà nước vậy mà nó còn ngồi nói phung toàn cải bẩn ra mồm đồ phản động chác nó cg là loài chó săn nên sống sót trở về thôi,negative
243,280,nói vừa ông ơi k lại vào trại đấy,negative
244,281,200k bán đứng lương tâm,negative
245,282,thằng này sắp được nhà nước nuôi rồi cứ tào lao to lên con,negative
246,283,bác lại cho mồm đi chơi xa quá rồi,negative
247,285,chui di cong an moi len roi khóc,negative
248,290,"mắc cở khi nói ra sự thật..nên xúm nhau chu mỏ sủa,hăm dọa,chụp mũ,ghép tội v v...ông ấy sao chổ nà ta nói đúng xúm nhau tru tréo..giống gì vậ dân mb,mn củng là ng mn làm gì cs chúng mày gọi là kẽ thù,đâu có ra bắc cướp của giết ng,như csvn vào mn tàn sát đbmn",negative
249,292,chú ơi lôi đâu thằng hồ bã chó ra sử tôi nó cho bớt đâu lòng ng lính bô đôi nhé chú,negative
250,294,đóng góp của ông là cái lol gì.thằng ngu đéo chịu học đi bộ đội thì nhát trốn bom đạn.nói ngu có thống nhất đất nước thì dc như hôm nay ông già óc cứt.bẩn dân tộc,negative
251,296,cái thằng chó này không đáng là người dân việt nam đất nước 4 nghìn năm lịch sử máu đã đổ xuống như sông xương chất như núi lớp này ngã xuống lớp khác vùng lên thử hỏi nếu những người ngã xuống con cháu họ cũng đòi hỏi tổ quốc đền bù những người còn sống để lại bao nhiêu phần thân thể ở chiến trường họ cũng đòi hỏi như vậy thì đất nước việt nam lấy gì trả công xứng đáng cho họ thử hỏi ai cũng như thằng khốn này thì lấy đâu ra người chiến đấu bảo vệ tính mạng cho gia đình cha mẹ anh em con cháu nó,negative
252,300,trang này đổi tên làm nhật ký bán nước được rồi đấy,negative
253,303,ba tôi cũng đi bộ đội đc chính sách 290 đc 2 triệu đồng  đụ má mấy thằng cộng sản bắc việt nó khôn như chó đi đánh pôn pốt biên giới tây nam nó cho du kích địa phương đi đánh mà du kích địa phương đa số là người miền nam trong mặt trận giải phóng miền nam vn người miền nam chết như rạ,negative
254,305,thắng này láo toét đồ phản quốc,negative
255,306,cũng rất thông cảm cho một người lính vnch vì họ quá bức xúc,negative
256,308,bọn 3 dựng làm gì cho nhục lòi cái ng.u ra thằng nào bảo đây là clip thật nhảy vào tranh luận với tao,negative
257,309,trông như thằng điên,negative
258,310,đit mẹ cái thằng phỏng vấn tao mà bắt được mày tao giết cả nhà mày luôn.còn cái thằng già kia mồm mày chẳng khác gì cái lỗ đít con ngan nhà tao  mày là thằng ngu xuẩn ếch chết tại miệng để cho cái thằng con nít nó thùng cho mà không biết đồ chó đẻ,negative
259,311,thằng già mới chơi đá ak,negative
260,312,lo mà an phận tuổi già hung hăng không làm được gì đâu chú em,negative
261,313,thằng đéo bò ngu xồn,negative
262,314,thằng này tào lao,negative
263,317,vi phạm nhiều cứ luật mà phạt những tên điêu dân lì lợm giả vờ khóc lóc cố tình vi phạm,negative
264,319,khốn nạn thế là cùng toàn lũ súc vật,negative
265,322,phải chọn quả đẹp mới thu nhé,positive
266,323,thằng nào ở caliphoc xác nhận hộ tin này cái bộ tư pháp mỹ vừa bắt giữ anh donovan nguyen 34 tuổi hộ khẩu tại quận cam về hành vi giả làm đặc vụ liên bang lừa cả nước mỹ các điều tra viên cho biết anh nguyễn đã lừa là đặc vụ liên bang của cục điều tra an ninh nội địa hsi trong hơn 10 năm đối tượng còn sử dụng thẻ ngành giả của bộ an ninh nội địa dhs để mua về nghịch trong hơn 10 năm qua anh nguyễn thường xuyên mặc áo giáp đeo thẻ ngành đến trụ sở hsi nhưng đ’ ai biết anh nguyễn lừa kinh đến mức còn xuất hiện trong một vụ trọng án tại viện dưỡng lão năm 2019 và tham gia chỉ huy điều tra khiến vụ án đi vào bế tắc  trong gần 5 năm qua donovan nguyen là người xếp lịch điều quân ở laguna woods anh có một văn phòng riêng trang trọng tại trụ sở và các đặc vụ cấp dưới gọi anh là đại úy nguyễn các đồng nghiệp cho biết đặc vụ nguyễn còn hay ra ngoài trêu người đi đường bắt dừng xe lại để khám rồi thả đi với những đóng góp cho luật pháp hoa kỳ anh donovan pham nguyen bị kết án lừa đảo và đi bóc lịch 3 năm hiện nhiều người tin rằng anh là mật vụ của tổ chức n0ns0n cài vào gây lũng đoạn nước mỹ,negative
267,325,chỉ giỏi bắt nạt dân nghèo....lũ chó,negative
268,327,nên thông cảm cho bà cụ bán cam,negative
269,328,tại sao công an giố lắm phốt quá đả đến lúc sả hội cấn lên tiếng trung tá thí quỵt tiến dân dại uý thí lám loạn sân bay đáng nhân viên hâng ko thuông uý thí cho con váo siêuthij mua xúc xích ko trả tiến cón đanh nhân vién siêu thị thật loạn rối cón tin tuổng vao ai núa đây,negative
270,329,copy bài nhớ ghi nguồn nhe nhật ký yêu nước,negative
271,331,chúc mày chỉ biết sao lol chúng mày có ngon thi chúng mày ra mắt ma làm lu phản động yeu5 nước gi cái loại như chúng mày sang nước ngoai ma bam đít,negative
272,332,150k một khối nhìn thấy cảnh này ai cũng sót cả,negative
273,333,chỉ giỏi thương bằng gõ phím đăng fb đúng cái bọn giẻ rách,negative
274,335,nhật ký yêu nước móa nhà mày giúp gì đc cho dân miền tây chưa mà sủa hạn hán trời ko mưa mặn xâm nhập thì bố mày chống đc à,negative
275,336,ad ủng hộ cái đẻ t bỏ cs phục vụ ad cái,negative
276,337,ối giời ngon thì vác xác về đây mà yêu nước chứ ở đấy mà cào phím v,negative
277,338,cái tội 16 ngu 4 dốt là đây,negative
278,339,mọi người nhìn đi thật tội cho dân quá bây giờ phải nói sao cho phải ta,negative
279,340,đường tới thiên đường xhcn rất gần,negative
280,341,"ủng hộ được gì chưa,hay đang cào bàn phím hả ad",negative
